# x,y,label
-173,131,0
4,144,0
51,137,0
51,127,0
55,89,0
60,57,0
88,34,0
123,42,0
158,107,0
144,125,0
82,167,0
-10,163,0
-87,91,0
-45,55,0
-102,-120,0
-181,-5,1
-88,-3,1
26,-27,1
87,-40,1
94,-66,1
3,-68,1
-4,-52,1
-69,-23,1
-125,-31,1
-136,-29,1
-151,-3,1
-161,26,1
-215,51,1
-245,33,1
-261,-9,1
-262,-37,1
-192,-59,1
66,-92,1
214,-104,1
77,-203,0
54,-203,0
-21,-198,0
-66,-172,0
-109,-156,0
-153,-173,0
-237,-182,0
-277,-168,0
-230,-109,0
-217,-107,0
-129,-113,0
-25,-128,0
43,-140,0
120,-156,0
190,-182,0
180,-220,0
157,-230,0
6,-226,0
-136,-244,0
-107,139,0
-119,161,0
-156,207,0
-173,207,0
-229,192,0
-261,144,0
-230,123,0
-29,229,0
-17,231,0
47,235,0
138,227,0
191,203,0
229,150,0
259,88,0
264,24,0
218,-24,1
272,-44,1
280,-73,1
269,-104,1
172,-54,1
