# x,y,label
-263,56,0
-236,11,0
-286,3,0
-234,47,0
-289,102,0
-261,28,0
-241,-33,0
-282,-38,0
-253,-14,0
-194,-19,0
-246,-82,0
-223,100,0
-259,155,0
-257,205,0
-225,160,0
-183,40,0
-205,-128,0
-210,-89,0
-261,-164,0
-182,203,1
-166,179,1
-145,118,1
-120,69,1
-77,119,1
-108,31,1
-137,6,1
-156,-43,1
-143,-76,1
-157,-163,1
-171,-184,1
-240,-216,1
-281,-233,1
-251,-264,1
-169,-245,1
-107,-207,1
-102,-172,1
-98,-111,1
-92,-67,1
-77,-14,1
-63,23,1
-38,96,1
-42,143,1
-61,187,1
-112,191,1
-139,247,1
-189,265,1
-233,268,1
-273,256,1
-213,235,1
-52,244,1
-39,227,1
-10,191,1
15,163,1
18,117,1
-9,27,1
-9,9,1
-37,-89,1
-53,-136,1
-65,-206,1
-50,-240,1
6,-231,1
38,-168,1
41,-115,1
52,-62,1
62,-12,1
67,35,1
67,123,1
61,186,1
48,244,1
59,271,1
89,259,1
112,235,1
121,198,1
126,120,1
132,32,1
122,-12,1
116,-92,1
99,-196,1
117,-211,1
129,-220,1
176,-164,1
175,-127,1
179,-91,1
178,-31,1
177,31,1
178,149,1
182,262,1
266,230,1
254,205,1
245,134,1
293,158,0
255,103,0
235,83,0
221,46,0
221,-17,0
224,-64,0
241,-129,0
265,-185,0
298,-190,0
306,-148,0
289,-112,0
266,-104,0
295,-65,0
288,-36,0
251,-14,0
282,38,0
310,87,0
194,98,0
168,82,0
175,126,0
218,-151,0
202,-234,0
251,-237,0
298,-232,0
222,-189,0
268,-150,0
